Date,ADANIPORTS.NS,AXISBANK.NS,ASIANPAINT.NS,Portfolio Value
2018-05-31,3921.50,5459.00,13046.50,22427.0
2018-06-01,3876.00,5366.50,12930.50,22173.0
2018-06-04,3785.50,5370.50,12844.50,22000.5
2018-06-05,3736.00,5309.00,12736.00,21781.0
2018-06-06,3758.00,5314.00,12628.00,21700.0
2018-06-07,3800.50,5424.00,12908.00,22132.5
2018-06-08,3805.00,5374.00,12788.50,21967.5
2018-06-11,3823.00,5399.50,12833.00,22055.5
2018-06-12,3889.00,5371.50,12877.00,22137.5
2018-06-13,3828.50,5406.50,12864.00,22099.0
2018-06-14,3724.766666666667,5320.00,12861.00,21905.766666666666
2018-06-15,3724.766666666667,5287.50,12822.00,21834.266666666666
2018-06-18,3724.766666666667,5225.50,12820.50,21770.766666666666
