Date,ADANIPORTS.NS,AXISBANK.NS,ASIANPAINT.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,Portfolio Value
2018-02-27,4104.50,5384.00,11103.50,30347.00,16568.00,67507.0
2018-02-28,4083.50,5287.50,11177.50,30206.00,16402.50,67157.0
2018-03-01,4061.00,5257.50,11189.00,30209.00,16593.50,67310.0
2018-03-05,4039.50,5245.50,11059.50,29435.50,16369.50,66149.5
2018-03-06,4052.50,5173.50,11016.00,28992.00,16377.50,65611.5
2018-03-07,3769.50,5126.50,11072.50,29039.00,16183.50,65191.0
2018-03-08,3879.50,5205.50,11276.00,29239.00,16280.50,65880.5
2018-03-09,3779.00,5053.50,11291.00,29354.00,16542.00,66019.5
2018-03-12,3866.00,5192.00,11315.00,29577.50,16652.50,66603.0
2018-03-13,3852.00,5315.00,11403.00,29717.50,16807.00,67094.5
2018-03-14,3821.00,5361.50,11370.00,29505.50,17101.00,67159.0
2018-03-15,3821.50,5296.50,11608.00,29487.50,17262.50,67476.0
2018-03-16,3705.00,5226.00,11227.50,29104.50,16879.00,66142.0
2018-03-19,3643.00,5194.50,11025.50,28494.50,16318.50,64676.0
2018-03-20,3700.00,5211.00,11065.00,28730.00,16573.00,65279.0
2018-03-21,3637.00,5263.00,11035.50,28518.00,17045.50,65499.0
2018-03-22,3582.50,5182.00,11071.00,28349.50,16956.00,65141.0
2018-03-23,3624.00,4995.00,11126.50,27899.50,16853.00,64498.0
2018-03-26,3651.50,5073.00,11175.50,28486.50,17416.00,65802.5
2018-03-27,3655.00,5122.00,11311.00,27983.00,17724.50,65795.5
2018-03-28,3541.00,5105.00,11204.00,27447.00,17675.50,64972.5
2018-04-02,3697.00,4990.50,11501.50,28089.50,18186.00,66464.5
2018-04-03,3664.00,5015.50,11521.00,27920.00,18342.50,66463.0
2018-04-04,3678.00,4922.50,11360.00,27660.00,18502.00,66122.5
2018-04-05,3759.50,5031.00,11429.00,28081.50,19156.00,67457.0
2018-04-06,3793.00,5002.00,11435.00,27864.00,19376.00,67470.0
2018-04-09,3773.50,5193.00,11574.50,27724.50,19442.50,67708.0
2018-04-10,3872.50,5461.50,11567.50,27664.50,19260.50,67826.5
2018-04-11,3779.00,5398.00,11558.50,27555.50,19246.50,67537.5
2018-04-12,3723.50,5487.50,11652.00,27632.00,19293.50,67788.5
2018-04-13,3831.00,5425.50,11622.00,27862.00,19143.50,67884.0
2018-04-16,3875.00,5424.00,11788.50,28383.00,19433.00,68903.5
2018-04-17,3834.00,5324.00,11760.00,28642.00,19350.50,68910.5
2018-04-18,3849.50,5182.50,11723.00,28620.50,19268.50,68644.0
2018-04-19,3865.50,5129.00,11650.00,28579.50,19133.00,68357.0
2018-04-20,3811.50,5057.00,11593.50,28527.00,18804.00,67793.0
2018-04-23,3863.50,5062.00,11787.00,28521.50,18993.50,68227.5
2018-04-24,3922.50,5048.50,11701.00,28868.00,19178.00,68718.0
2018-04-25,3919.00,4984.00,11630.50,29003.50,18998.50,68535.5
2018-04-26,3971.00,4937.50,11557.00,28849.50,18921.00,68236.0
2018-04-27,4024.50,5392.00,11816.00,29471.50,19011.50,69715.5
2018-04-30,4073.00,5173.00,12017.00,29526.00,19077.00,69866.0
2018-05-02,4011.00,5237.50,12223.00,29659.50,19051.00,70182.0
2018-05-03,3970.00,5334.00,12067.50,29752.00,18743.00,69866.5
2018-05-04,4082.50,5203.00,11904.50,28886.50,18574.00,68650.5
2018-05-07,4124.00,5361.00,12152.50,29153.00,18954.50,69745.0
2018-05-08,4128.00,5422.50,12099.00,28922.50,18684.00,69256.0
2018-05-09,4133.50,5485.00,12225.50,28720.00,18491.00,69055.0
2018-05-10,4108.00,5476.50,12177.00,28275.00,18374.00,68410.5
2018-05-11,4127.00,5533.00,12864.50,28154.50,18615.00,69294.0
2018-05-14,4099.50,5519.00,12973.50,28319.50,18645.00,69556.5
2018-05-15,4091.50,5497.00,13146.50,28236.50,19019.50,69991.0
2018-05-16,4031.00,5500.00,13237.00,28119.00,19199.50,70086.5
2018-05-17,3979.00,5394.50,13094.50,28154.50,20665.00,71287.5
2018-05-18,3895.00,5329.00,13083.50,27875.00,21496.50,71679.0
2018-05-21,3837.00,5268.50,13017.00,27205.50,21054.50,70382.5
2018-05-22,3797.50,5233.00,12868.50,28085.00,21493.00,71477.0
