Date,TATASTEEL.NS,ZEEL.NS,YESBANK.NS,WIPRO.NS,PNB.NS,ULTRACEMCO.NS,TECHM.NS,TCS.NS,ONGC.NS,SAIL.NS,Portfolio Value
2017-09-25,6095.10,5265.00,3596.00,2919.00,1376.50,39018.00,4519.50,25107.50,1648.00,566.50,90111.1
2017-09-26,6231.80,5249.00,3607.50,2902.50,1366.50,39146.50,4473.50,24746.50,1714.00,566.50,90004.3
2017-09-27,6186.60,5240.00,3532.00,2883.00,1326.50,37985.00,4499.50,24950.00,1702.00,542.00,88846.6
2017-09-28,6189.90,5200.00,3508.00,2859.00,1307.50,38687.00,4544.50,24764.50,1715.50,532.00,89307.9
2017-09-29,6217.10,5201.00,3500.00,2802.50,1290.50,38542.00,4578.50,24359.50,1709.50,536.50,88737.1
2017-10-03,6295.70,5219.50,3510.50,2829.50,1296.00,38950.00,4633.00,24484.50,1706.50,537.00,89462.2
2017-10-04,6278.50,5214.00,3558.00,2827.50,1299.50,38725.00,4650.50,24423.00,1721.00,538.50,89235.5
2017-10-05,6297.60,5216.00,3594.50,2836.00,1323.50,38944.00,4509.50,24296.00,1712.00,540.50,89269.6
2017-10-06,6587.70,5216.50,3658.00,2866.00,1370.50,39309.00,4568.50,24466.50,1738.50,563.50,90344.7
2017-10-09,6643.00,5257.50,3709.00,2868.00,1373.00,39573.50,4633.00,24541.00,1707.00,566.50,90871.5
2017-10-10,6581.50,5229.00,3729.00,2870.00,1370.00,39708.00,4663.00,24592.50,1703.50,569.50,91016.0
2017-10-11,6500.50,5145.00,3630.00,2906.50,1317.00,39512.00,4672.50,25003.50,1691.50,547.50,90926.0
2017-10-12,6589.10,5175.50,3654.00,2934.50,1338.00,39198.00,4742.00,25482.00,1697.00,560.50,91370.6
2017-10-13,6772.50,5100.50,3697.00,2919.00,1350.00,40050.00,4761.00,25586.00,1696.50,579.50,92512.0
2017-10-16,6811.60,5144.50,3677.00,2907.00,1338.50,40042.50,4738.00,25844.00,1720.50,583.00,92806.6
2017-10-17,6788.30,4948.00,3735.50,2898.50,1344.00,40894.00,4730.00,25945.50,1712.00,592.00,93587.8
2017-10-18,6760.60,4907.50,3624.00,2947.50,1309.00,40922.00,4584.50,25866.00,1744.50,595.00,93260.6
2017-10-19,6721.60,4893.50,3578.00,2920.50,1295.50,40343.50,4583.50,25839.00,1720.50,590.50,92486.1
2017-10-23,6783.50,4916.50,3539.00,2969.00,1310.00,42050.50,4631.00,25879.00,1717.00,592.00,94387.5
